item_id,category_id,popularity,most_frequent_property,popularity_weekly
2695,317,2.0,202,1.0
3981,1628,1.0,-3,1.0
55282,1216,2.0,790,1.0
1436,209,0.0,6,0.0
46095,173,0.0,6,0.0
62803,1043,0.0,888,0.0
56927,686,10.0,888,1.25
49111,1285,0.0,243,0.0
57638,1643,5.0,790,1.0
44455,686,0.0,486,0.0
38694,936,5.0,888,1.0
38608,242,5.0,888,1.0
34600,1084,2.0,678,1.0
9298,-1,1.0,-1,1.0
30599,184,0.0,575,0.0
16259,1277,3.0,790,1.0
11959,646,0.0,61,0.0
70654,-1,3.0,-1,1.0
892,490,0.0,-2,0.0
7319,944,2.0,790,1.0
1180,1462,1.0,464,1.0
1617,1301,0.0,202,0.0
67343,65,3.0,888,3.0
25514,858,381.0,790,3.100826446280992
51192,242,2.0,810,2.0
54569,-1,2.0,-1,1.0
24432,957,1.0,-3,1.0
68333,389,0.0,575,0.0
24482,575,6.0,888,1.5
69802,173,0.0,1014,0.0
68216,84,2.0,400,1.0
51784,84,0.0,400,0.0
32171,769,0.0,790,0.0
5941,739,2.0,227,1.0
43634,1250,0.0,790,0.0
69518,50,0.0,293,0.0
35035,-1,1.0,-1,1.0
11189,1634,1.0,888,1.0
63344,-1,1.0,-1,1.0
22534,746,0.0,698,0.0
48949,1119,39.0,-2,1.21875
65793,-1,4.0,-1,2.0
68965,1477,5.0,776,1.25
17960,-1,1.0,-1,1.0
47782,1301,0.0,202,0.0
65701,-1,2.0,-1,1.0
46262,1172,0.0,344,0.0
51968,-1,1.0,-1,1.0
60795,173,0.0,-2,0.0
27986,1483,0.0,888,0.0
53912,330,8.0,790,1.0
42600,1418,3.0,888,1.0
20223,-1,1.0,-1,1.0
26411,1255,2.0,-2,1.0
36232,173,0.0,6,0.0
32424,635,3.0,790,1.0
47274,-1,1.0,-1,1.0
38787,242,2.0,888,1.0
16958,1098,1.0,790,1.0
31591,1043,210.0,790,15.9
65158,-1,2.0,-1,1.0
41276,1565,0.0,-2,0.0
639,-1,3.0,-1,1.5
8850,-1,3.0,-1,1.0
14810,1142,0.0,790,0.0
27890,173,0.0,96,0.0
21669,-1,1.0,-1,1.0
65804,342,1.0,888,1.0
32749,988,0.0,888,0.0
55669,1076,0.0,186,0.0
25578,142,0.0,839,0.0
223,550,0.0,888,0.0
25794,1282,0.0,227,0.0
6280,618,0.0,790,0.0
56612,1007,0.0,108,0.0
54701,1273,0.0,450,0.0
60189,707,20.0,981,1.1111111111111112
62735,546,0.0,-3,0.0
12948,160,2.0,888,1.0
57306,828,0.0,888,0.0
58113,-1,2.0,-1,1.0
60210,705,0.0,698,0.0
63559,1680,0.0,678,0.0
30210,686,0.0,888,0.0
30113,1432,0.0,28,0.0
24064,69,1.0,776,1.0
25269,342,0.0,888,0.0
41118,1685,0.0,839,0.0
50087,1205,1.0,888,1.0
44271,196,3.0,888,1.5
21222,1061,0.0,38,0.0
23886,-1,1.0,-1,1.0
25299,1076,0.0,186,0.0
54249,403,2.0,961,1.0
48673,769,0.0,719,0.0
33279,-1,1.0,-1,1.0
17851,535,0.0,689,0.0
53565,769,3.0,790,1.0
19685,1542,0.0,839,0.0
68403,828,30.0,-2,1.0344827586206897
34506,1404,1.0,888,1.0
37514,1351,0.0,-3,0.0
22109,988,0.0,888,0.0
1602,1680,2.0,790,1.0
32569,-1,4.0,-1,1.0
36727,475,0.0,928,0.0
4130,126,1.0,-2,1.0
310,1010,0.0,888,0.0
15530,191,0.0,928,0.0
14011,697,51.0,159,1.1363636363636365
46416,936,3.0,888,1.0
5442,637,3.0,584,1.0
11662,801,0.0,6,0.0
58579,618,0.0,790,0.0
68052,1603,1.0,888,1.0
49402,1301,0.0,227,0.0
68246,959,0.0,566,0.0
20185,1002,6.0,888,1.0
35227,818,6.0,776,1.0
2806,1142,0.0,961,0.0
6899,1173,0.0,888,0.0
64872,56,10.0,790,1.1111111111111112
26963,382,1.0,888,1.0
28405,718,11.0,776,1.0
60178,184,1.0,810,1.0
46359,1262,0.0,888,0.0
8253,624,5.0,-2,1.0
54446,1073,0.0,888,0.0
878,1493,0.0,888,0.0
61671,342,0.0,681,0.0
51137,366,1.0,888,1.0
59774,337,5.0,-2,1.0
66721,1007,2.0,917,1.0
53973,769,0.0,790,0.0
11187,746,0.0,888,0.0
58710,-1,3.0,-1,1.0
48928,1694,0.0,765,0.0
8537,936,7.0,888,1.0
19506,508,0.0,6,0.0
2127,806,2.0,188,1.0
8598,-1,4.0,-1,1.3333333333333333
37815,1142,0.0,159,0.0
31588,844,5.0,888,1.25
46563,1680,0.0,790,0.0
68278,1374,0.0,776,0.0
22367,1007,0.0,159,0.0
29931,70,0.0,6,0.0
26365,1117,0.0,888,0.0
35692,1221,35.0,790,1.09375
50883,884,37.0,-2,1.2758620689655173
5826,1301,1.0,689,1.0
39070,484,263.0,790,5.1
54612,624,1.0,888,1.0
21659,-1,5.0,-1,1.25
30119,1279,0.0,61,0.0
65418,1250,0.0,764,0.0
14223,1061,0.0,19,0.0
674,508,0.0,227,0.0
2382,-1,1.0,-1,1.0
25754,1255,0.0,790,0.0
56274,1578,2.0,790,1.0
40553,1387,0.0,790,0.0
45904,517,13.0,790,1.0
27087,686,0.0,227,0.0
19374,111,0.0,46,0.0
49701,1663,0.0,888,0.0
49019,242,2.0,-2,1.0
30211,-1,3.0,-1,1.5
5907,988,2.0,994,1.0
9175,242,0.0,888,0.0
59494,1665,0.0,646,0.0
19946,429,26.0,888,1.0416666666666667
63963,1051,3.0,400,1.0
23484,1675,0.0,678,0.0
70642,1489,0.0,227,0.0
38699,741,0.0,698,0.0
34141,499,0.0,202,0.0
29238,769,0.0,888,0.0
9193,342,0.0,888,0.0
60695,160,0.0,888,0.0
69442,1113,111.0,790,13.75
8456,1084,0.0,810,0.0
16151,959,2.0,566,1.0
23222,120,1.0,790,1.0
51797,251,0.0,698,0.0
18248,1303,0.0,689,0.0
13199,173,0.0,1014,0.0
18889,624,1.0,776,1.0
25306,-1,2.0,-1,1.0
11992,996,1.0,810,1.0
55817,1301,0.0,227,0.0
24970,1675,0.0,839,0.0
55053,1434,0.0,888,0.0
63062,1301,2.0,283,2.0
31877,1167,0.0,776,0.0
22550,1135,15.0,888,1.25
34919,1220,0.0,201,0.0
7028,1542,0.0,348,0.0
43057,342,0.0,663,0.0
46326,936,0.0,888,0.0
40938,1646,2.0,888,1.0
4897,1556,0.0,6,0.0
55952,1244,2.0,888,1.0
42208,1280,8.0,888,1.1428571428571428
44950,342,0.0,451,0.0
15296,844,0.0,928,0.0
30212,1007,0.0,797,0.0
5526,374,2.0,-2,1.0
49602,-1,2.0,-1,1.0
70365,1390,1.0,813,1.0
15077,534,0.0,810,0.0
66594,1685,0.0,33,0.0
57414,-1,1.0,-1,1.0
35864,342,1.0,663,1.0
4268,610,1.0,837,1.0
66870,844,0.0,888,0.0
4420,1221,9.0,888,1.0
29105,-1,10.0,-1,3.3333333333333335
59579,227,0.0,202,0.0
15294,1285,0.0,38,0.0
68814,-1,72.0,-1,1.098360655737705
48936,342,0.0,888,0.0
52303,1070,1.0,719,1.0
23717,730,2.0,-2,1.0
47662,1498,6.0,888,1.0
31311,342,0.0,888,0.0
56173,1316,5.0,202,1.0
34668,-1,8.0,-1,1.1428571428571428
37031,1301,0.0,6,0.0
70518,598,0.0,441,0.0
23476,481,0.0,698,0.0
47400,1489,0.0,38,0.0
13903,342,0.0,451,0.0
61743,-1,6.0,-1,1.0
39772,686,0.0,888,0.0
62032,730,0.0,888,0.0
29054,829,0.0,689,0.0
29336,598,0.0,54,0.0
44584,1421,17.0,790,1.1333333333333333
57727,227,0.0,202,0.0
67171,769,2.0,790,1.0
9936,342,0.0,962,0.0
41468,-1,1.0,-1,1.0
68374,342,0.0,451,0.0
4492,1376,0.0,614,0.0
66354,333,0.0,6,0.0
49490,417,0.0,726,0.0
47972,173,1.0,227,1.0
9845,1675,0.0,299,0.0
48053,976,0.0,38,0.0
69246,914,0.0,-2,0.0
66029,217,0.0,348,0.0
13511,769,0.0,790,0.0
32495,769,3.0,790,1.5
39186,227,3.0,202,1.5
34508,991,0.0,713,0.0
53814,173,1.0,-2,1.0
37434,342,0.0,544,0.0
11752,342,39.0,962,1.3
51273,342,1.0,962,1.0
57547,1301,0.0,227,0.0
11364,739,1.0,275,1.0
43684,769,1.0,-2,1.0
40257,1605,0.0,888,0.0
62365,1404,1.0,839,1.0
7230,1301,0.0,46,0.0
63095,324,0.0,591,0.0
31326,268,0.0,575,0.0
16280,1373,0.0,928,0.0
53960,64,0.0,921,0.0
3593,1542,16.0,888,1.1666666666666667
39592,1051,1.0,566,1.0
17683,1301,0.0,434,0.0
27689,-1,1.0,-1,1.0
36825,209,0.0,561,0.0
34114,1623,0.0,776,0.0
31428,-1,6.0,-1,1.0
19819,198,0.0,713,0.0
23364,-1,2.0,-1,2.0
27335,333,0.0,6,0.0
35719,228,0.0,888,0.0
23474,988,0.0,888,0.0
65176,494,0.0,888,0.0
50734,656,173.0,790,2.582089552238806
53521,-1,1.0,-1,1.0
39071,173,0.0,1014,0.0
6973,1625,306.0,-2,2.853932584269663
68534,977,2.0,-2,1.0
39121,1228,8.0,888,1.0
29132,1051,8.0,888,1.6
35300,988,0.0,28,0.0
18145,1277,0.0,-3,0.0
46263,1187,0.0,898,0.0
4131,242,28.0,790,1.1666666666666667
12463,1142,0.0,790,0.0
50265,641,1.0,839,1.0
1018,782,1.0,678,1.0
42741,479,0.0,28,0.0
16641,209,0.0,6,0.0
64030,1,9.0,71,1.1428571428571428
40906,508,0.0,202,0.0
15227,1250,0.0,-2,0.0
332,1285,0.0,575,0.0
48734,671,0.0,888,0.0
55073,1421,0.0,982,0.0
33916,1244,0.0,888,0.0
27153,1322,4.0,888,1.0
17595,844,22.0,490,1.4583333333333333
6388,646,0.0,61,0.0
63803,1339,6.0,214,1.2
61175,792,0.0,888,0.0
70049,324,0.0,1041,0.0
13985,1302,34.0,790,1.0574712643678161
32205,1173,3.0,790,3.0
31372,1142,0.0,631,0.0
14635,173,0.0,624,0.0
33797,342,0.0,451,0.0
26467,166,0.0,28,0.0
3278,111,0.0,434,0.0
45510,70,0.0,227,0.0
37354,1301,0.0,441,0.0
16652,1007,0.0,678,0.0
30849,342,11.0,962,1.0
70753,342,0.0,283,0.0
25469,173,0.0,283,0.0
59268,-1,1.0,-1,1.0
49828,686,0.0,839,0.0
60625,242,0.0,888,0.0
13221,686,0.0,776,0.0
18660,1634,1.0,-2,1.0
43801,1173,4.0,888,1.3333333333333333
69076,-1,3.0,-1,1.0
65356,642,0.0,888,0.0
6289,1509,19.0,888,1.2666666666666666
21773,1405,0.0,-2,0.0
39490,454,34.0,227,1.25
46985,48,0.0,888,0.0
4305,160,5.0,810,1.6666666666666667
6867,1051,3.0,400,1.0
65275,1059,9.0,1036,1.0
14740,284,0.0,227,0.0
60084,240,0.0,790,0.0
27397,-1,2.0,-1,1.0
35011,1310,0.0,928,0.0
69775,533,4.0,834,1.0
51647,-1,2.0,-1,1.0
50345,324,0.0,645,0.0
8124,1301,0.0,243,0.0
18647,498,0.0,-3,0.0
35258,403,0.0,-3,0.0
23880,792,2.0,888,2.0
9961,924,1.0,-2,1.0
31091,173,1.0,917,1.0
38665,1362,0.0,-2,0.0
10940,876,0.0,888,0.0
10646,48,1.0,696,1.0
59323,733,0.0,680,0.0
48068,1639,0.0,410,0.0
27010,962,117.0,790,7.8
47409,-1,3.0,-1,1.0
69259,1059,6.0,-3,1.0
45634,64,1.0,841,1.0
60291,1196,0.0,410,0.0
688,-1,7.0,-1,1.75
25718,512,0.0,38,0.0
34632,575,10.0,776,1.0
7928,1574,13.0,678,1.2
52130,-1,2.0,-1,1.0
5699,-1,4.0,-1,1.0
27928,535,6.0,46,1.0
50681,619,0.0,-2,0.0
17780,1390,3.0,839,1.0
15562,792,3.0,400,1.0
13078,976,0.0,46,0.0
8993,1301,0.0,960,0.0
49839,565,1.0,1032,1.0
19229,342,0.0,663,0.0
31236,1059,5.0,676,1.0
65817,64,0.0,283,0.0
27375,1061,1.0,28,1.0
26101,1167,0.0,-3,0.0
1699,530,1.0,283,1.0
55718,64,2.0,669,1.0
29626,242,1.0,-2,1.0
37089,317,9.0,790,1.0
59081,619,0.0,509,0.0
35282,819,0.0,847,0.0
51469,1454,0.0,698,0.0
6900,558,6.0,-3,1.0
23789,1455,108.0,790,27.0
18783,242,0.0,810,0.0
57257,130,0.0,888,0.0
27651,1142,0.0,888,0.0
31148,799,1.0,595,1.0
66839,1059,2.0,346,1.0
25709,228,4.0,888,1.3333333333333333
31512,1301,0.0,698,0.0
68003,-1,1.0,-1,1.0
31921,1159,3.0,839,1.0
52837,828,28.0,888,1.173913043478261
67805,977,0.0,406,0.0
59443,65,4.0,888,1.0
21063,173,0.0,928,0.0
42506,51,0.0,202,0.0
48273,263,3.0,888,1.0
38397,1454,10.0,173,1.4285714285714286
53804,928,2.0,981,1.0
20353,1301,0.0,28,0.0
1852,927,25.0,888,1.5
44218,769,0.0,-2,0.0
17434,730,0.0,888,0.0
64889,342,0.0,451,0.0
44158,1221,6.0,888,1.0
61727,273,0.0,810,0.0
47137,1070,0.0,678,0.0
31986,617,1.0,102,1.0
62748,131,0.0,28,0.0
40406,1513,1.0,839,1.0
47720,646,3.0,888,1.0
70150,1663,2.0,888,1.0
14737,342,3.0,451,1.0
65662,348,0.0,112,0.0
31222,227,0.0,764,0.0
25186,1070,1.0,-2,1.0
59820,65,4.0,888,1.0
25412,1474,1.0,373,1.0
1683,48,0.0,888,0.0
15044,926,0.0,888,0.0
43797,-1,1.0,-1,1.0
40620,1375,7.0,888,1.0
47680,1560,0.0,653,0.0
12302,330,0.0,314,0.0
64839,48,0.0,696,0.0
66228,958,0.0,928,0.0
10491,1069,0.0,888,0.0
67407,1351,0.0,888,0.0
65867,342,0.0,888,0.0
41021,1059,8.0,676,1.0
18141,-1,1.0,-1,1.0
10089,-1,2.0,-1,1.0
7125,1493,1.0,935,1.0
67098,172,0.0,689,0.0
17652,1250,0.0,678,0.0
11782,1338,1.0,813,1.0
53512,1385,0.0,784,0.0
40795,261,0.0,790,0.0
43769,683,10.0,915,1.6666666666666667
40801,1233,7.0,698,1.1666666666666667
22837,1007,0.0,-2,0.0
67998,1007,0.0,343,0.0
55042,1018,0.0,660,0.0
43325,242,6.0,888,1.2
1431,1043,0.0,888,0.0
53347,1373,1.0,784,1.0
25491,342,0.0,663,0.0
4445,389,0.0,888,0.0
63031,546,0.0,888,0.0
8634,1387,104.0,-2,34.666666666666664
6655,437,15.0,-2,1.75
35873,342,0.0,566,0.0
25880,508,0.0,888,0.0
63850,-1,1.0,-1,1.0
10625,342,9.0,888,1.125
51522,1402,26.0,-3,1.119047619047619
7157,-1,1.0,-1,1.0
50413,-1,2.0,-1,1.0
62019,1070,0.0,839,0.0
18708,1018,0.0,698,0.0
46134,1634,6.0,-2,1.0
39223,1542,1.0,790,1.0
18661,65,1.0,6,1.0
11434,1084,0.0,839,0.0
1463,1007,0.0,570,0.0
36273,1298,1.0,28,1.0
1410,342,0.0,544,0.0
67072,438,2.0,964,1.0
22206,1393,3.0,6,1.5
55112,209,287.0,790,4.680327868852459
36562,-1,5.0,-1,1.25
23253,324,0.0,888,0.0
62181,1318,28.0,790,1.12
48638,289,0.0,219,0.0
47749,342,0.0,544,0.0
17157,-1,4.0,-1,1.0
64266,769,0.0,720,0.0
27176,-1,7.0,-1,1.1666666666666667
50504,1250,0.0,698,0.0
4052,299,35.0,6,1.09375
50839,-1,4.0,-1,1.0
12654,1680,0.0,689,0.0
47081,1542,3.0,888,1.5
46087,1483,2.0,581,1.0
31690,414,0.0,283,0.0
35845,1408,0.0,243,0.0
4369,1605,0.0,888,0.0
31838,1244,9.0,790,1.0
46355,342,14.0,888,1.5555555555555556
9310,173,0.0,6,0.0
44988,531,11.0,888,1.1
56498,50,13.0,790,1.2222222222222223
9751,1344,0.0,188,0.0
47270,-1,3.0,-1,1.0
23790,-1,2.0,-1,1.0
40796,617,1.0,202,1.0
13056,996,0.0,46,0.0
50011,626,3.0,-2,1.0
45721,952,0.0,575,0.0
30245,618,0.0,790,0.0
1006,1167,0.0,-3,0.0
55987,1340,3.0,364,1.0
45111,416,0.0,1064,0.0
9529,844,1.0,490,1.0
5360,863,0.0,202,0.0
36017,844,0.0,490,0.0
67381,988,0.0,888,0.0
20946,617,5.0,202,1.25
27187,1135,1.0,888,1.0
56814,256,9.0,1032,1.125
35586,1147,0.0,-3,0.0
6240,769,3.0,790,1.0
25847,-1,1.0,-1,1.0
64773,120,9.0,888,1.125
23226,130,0.0,-2,0.0
65532,244,0.0,888,0.0
19681,242,2.0,888,1.0
18391,70,0.0,28,0.0
55285,-1,1.0,-1,1.0
10430,198,0.0,575,0.0
50584,-1,1.0,-1,1.0
29384,421,1.0,1031,1.0
22577,-1,1.0,-1,1.0
13453,1167,1.0,776,1.0
70384,173,0.0,6,0.0
62936,58,1.0,776,1.0
2908,976,0.0,28,0.0
20159,1620,0.0,776,0.0
64454,1509,0.0,348,0.0
43693,284,0.0,888,0.0
67905,642,0.0,-3,0.0
36858,858,3.0,888,1.0
9427,1069,1.0,698,1.0
49340,-1,1.0,-1,1.0
45211,173,0.0,202,0.0
18891,1244,7.0,790,1.1666666666666667
24171,-1,4.0,-1,1.3333333333333333
55875,819,1.0,790,1.0
41309,1084,0.0,38,0.0
45612,1250,0.0,720,0.0
456,1091,16.0,888,1.0666666666666667
28526,1113,1.0,790,1.0
44669,-1,2.0,-1,2.0
54874,1279,47.0,790,1.1428571428571428
53963,769,7.0,790,1.75
21314,697,5.0,979,1.0
54382,65,160.0,790,3.404255319148936
21835,1279,1.0,506,1.0
68327,769,0.0,-2,0.0
47162,579,4.0,-3,1.0
30566,1483,30.0,888,1.14
50659,1409,1.0,25,1.0
61077,-1,6.0,-1,1.0
12529,1245,0.0,38,0.0
4877,-1,1.0,-1,1.0
51350,1301,1.0,46,1.0
66557,414,4.0,69,1.0
4036,126,0.0,790,0.0
18636,1627,0.0,1036,0.0
67471,999,17.0,888,1.1071428571428572
63495,646,1.0,888,1.0
63722,1043,1.0,776,1.0
46242,1172,3.0,346,1.0
59599,936,15.0,790,1.0714285714285714
67179,1244,2.0,277,1.0
15986,374,0.0,1028,0.0
77,324,1.0,645,1.0
22384,697,2.0,888,1.0
70206,1225,0.0,-3,0.0
20756,1119,0.0,1073,0.0
31699,1301,0.0,348,0.0
14799,833,0.0,1036,0.0
66935,1248,7.0,888,1.1666666666666667
30371,1483,3.0,581,1.0
51732,499,0.0,888,0.0
48190,1639,5.0,790,1.0
20742,1575,0.0,38,0.0
52972,1663,0.0,888,0.0
34926,1659,145.0,112,3.086206896551724
39775,1220,1.0,450,1.0
13937,575,5.0,978,1.25
27851,535,0.0,243,0.0
44263,331,4.0,964,1.3333333333333333
26843,1142,0.0,797,0.0
67849,686,0.0,888,0.0
50205,1432,0.0,213,0.0
34575,1076,0.0,33,0.0
12866,-1,1.0,-1,1.0
66567,1475,0.0,-2,0.0
3190,1301,0.0,790,0.0
129,996,0.0,441,0.0
53034,41,0.0,202,0.0
18214,403,0.0,159,0.0
68097,-1,1.0,-1,1.0
37719,1373,1.0,470,1.0
18695,65,0.0,283,0.0
63277,173,0.0,96,0.0
51643,508,0.0,213,0.0
69743,-1,6.0,-1,1.0
30412,1091,0.0,888,0.0
29309,-1,46.0,-1,1.0222222222222221
58031,69,0.0,709,0.0
10574,1592,0.0,6,0.0
27229,1233,100.0,790,1.2478632478632479
32055,3,3.0,646,3.0
15915,1049,6.0,888,1.0
69084,914,3.0,173,1.0
45628,1186,123.0,790,6.473684210526316
31732,598,0.0,698,0.0
40197,-1,2.0,-1,1.0
22157,242,0.0,888,0.0
67690,48,5.0,790,1.0
46395,814,10.0,790,1.0
51021,389,0.0,202,0.0
29655,396,0.0,839,0.0
58062,70,0.0,575,0.0
26482,1301,0.0,243,0.0
62533,683,6.0,888,1.2
2098,686,0.0,888,0.0
17177,-1,2.0,-1,1.0
6004,342,0.0,962,0.0
11873,1191,1.0,-2,1.0
31805,535,0.0,202,0.0
2824,1244,3.0,332,1.0
11857,-1,11.0,-1,1.0
36454,273,0.0,-2,0.0
31130,1040,0.0,713,0.0
66836,184,0.0,46,0.0
22646,642,8.0,-3,1.1428571428571428
45115,1171,5.0,1080,1.0
52779,739,0.0,102,0.0
49216,342,0.0,888,0.0
9671,1258,0.0,790,0.0
45083,1240,43.0,790,1.21875
24554,236,0.0,888,0.0
59224,353,0.0,33,0.0
3903,-1,125.0,-1,5.125
48236,-1,1.0,-1,1.0
56354,519,0.0,888,0.0
56282,284,0.0,441,0.0
34013,1007,0.0,763,0.0
4721,179,0.0,441,0.0
50222,1135,6.0,400,1.2
55035,1343,1.0,591,1.0
69826,1059,3.0,654,1.0
17991,1565,0.0,888,0.0
37438,84,0.0,400,0.0
1506,1375,0.0,888,0.0
27134,988,3.0,1031,1.0
28955,769,2.0,839,2.0
38861,1051,10.0,566,1.0
43022,958,118.0,-2,10.727272727272727
37863,47,264.0,888,4.87037037037037
23784,578,0.0,839,0.0
59031,184,0.0,227,0.0
59906,1542,1.0,839,1.0
50221,1542,213.0,790,16.384615384615383
9026,1421,9.0,790,3.0
63600,1061,1.0,28,1.0
65824,988,0.0,888,0.0
22686,808,4.0,888,1.0
70244,337,0.0,-2,0.0
66773,508,0.0,441,0.0
28464,133,6.0,790,1.2
46287,988,1.0,227,1.0
19552,242,5.0,-2,1.0
54566,844,112.0,490,8.615384615384615
43710,769,1.0,790,1.0
44172,1393,117.0,888,3.6944444444444446
33850,1493,0.0,486,0.0
52964,333,0.0,815,0.0
23388,1221,137.0,71,1.110655737704918
11323,218,10.0,-2,1.4285714285714286
20755,1084,0.0,515,0.0
41436,65,0.0,888,0.0
67036,1255,0.0,-3,0.0
19173,739,1.0,6,1.0
32931,1355,1.0,-3,1.0
34099,324,18.0,591,1.2777777777777777
19632,598,0.0,243,0.0
68294,819,0.0,553,0.0
4050,1250,0.0,369,0.0
8758,225,0.0,888,0.0
53968,414,0.0,6,0.0
51384,-1,3.0,-1,1.0
17256,228,13.0,888,1.2
38434,342,0.0,962,0.0
62769,1301,0.0,46,0.0
64293,410,0.0,888,0.0
47276,228,4.0,283,1.0
1187,324,3.0,888,1.0
12556,175,14.0,795,1.1666666666666667
38246,1051,0.0,400,0.0
49452,1388,0.0,888,0.0
51080,-1,2.0,-1,1.0
45317,1219,224.0,790,2.242424242424242
58180,782,16.0,839,1.1428571428571428
6232,1477,1.0,283,1.0
18455,958,1.0,713,1.0
64767,1301,0.0,-2,0.0
4415,65,0.0,888,0.0
68584,769,0.0,790,0.0
42963,-1,3.0,-1,1.0
66427,-1,2.0,-1,1.0
4768,-1,6.0,-1,1.0
4298,333,0.0,6,0.0
1516,1431,2.0,790,1.0
67625,849,13.0,790,1.1818181818181819
28632,1561,1.0,230,1.0
14715,959,4.0,591,1.0
36867,-1,2.0,-1,1.0
12597,173,0.0,624,0.0
16501,967,12.0,479,1.0
33874,1355,0.0,675,0.0
13973,769,0.0,830,0.0
34929,828,0.0,451,0.0
22288,637,1.0,-2,1.0
10020,-1,2.0,-1,1.0
67526,208,0.0,671,0.0
70824,-1,1.0,-1,1.0
63596,1069,0.0,28,0.0
57144,1680,0.0,790,0.0
66746,481,0.0,243,0.0
68438,111,4.0,38,1.0
48653,1302,0.0,-3,0.0
23995,1483,23.0,581,1.0454545454545454
35724,769,2.0,790,1.0
38368,65,9.0,6,1.0
4241,-1,11.0,-1,1.1
44330,65,0.0,6,0.0
55643,-1,1.0,-1,1.0
13850,429,16.0,790,1.2307692307692308
6665,1142,0.0,283,0.0
63678,546,3.0,-3,1.5
54967,342,0.0,544,0.0
48989,558,0.0,867,0.0
54749,173,0.0,-2,0.0
13607,-1,1.0,-1,1.0
36568,1301,0.0,46,0.0
63762,1421,1.0,-2,1.0
17328,618,5.0,790,1.0
57906,84,13.0,888,1.2777777777777777
14133,342,0.0,451,0.0
20074,730,3.0,713,1.0
36081,988,3.0,928,1.0
4658,746,5.0,888,1.0
58639,342,4.0,888,1.0
51156,1404,6.0,686,1.2
25061,936,2.0,888,1.0
11274,1634,0.0,888,0.0
31890,-1,1.0,-1,1.0
21548,1680,0.0,797,0.0
66938,-1,1.0,-1,1.0
27034,1171,1.0,202,1.0
22185,1674,0.0,-3,0.0
44680,1250,1.0,830,1.0
60194,1504,1.0,790,1.0
41193,1255,7.0,719,1.0
12090,1007,0.0,735,0.0
19009,-1,1.0,-1,1.0
67112,769,2.0,790,0.6666666666666666
65856,1172,4.0,456,1.0
43268,715,21.0,790,1.2666666666666666
18538,564,22.0,698,1.2222222222222223
3048,1061,0.0,994,0.0
15964,1142,0.0,159,0.0
66866,1680,0.0,-2,0.0
16733,-1,2.0,-1,1.0
31760,1421,7.0,-2,1.2222222222222223
61219,1603,0.0,888,0.0
66601,196,1.0,-2,1.0
33223,1225,0.0,227,0.0
7663,844,0.0,928,0.0
9242,633,0.0,888,0.0
20561,-1,1.0,-1,1.0
44656,84,1.0,400,1.0
70394,-1,2.0,-1,2.0
