item_id,category_id,popularity,most_frequent_property
53973,769,0.0,790
11187,746,0.0,888
58710,-1,3.0,-1
48928,1694,0.0,765
8537,936,7.0,888
19506,508,0.0,6
2127,806,2.0,188
8598,-1,4.0,-1
37815,1142,0.0,159
31588,844,5.0,888
46563,1680,0.0,790
68278,1374,0.0,776
22367,1007,0.0,159
29931,70,0.0,6
26365,1117,0.0,888
35692,1221,35.0,790
50883,884,37.0,-2
5826,1301,1.0,689
39070,484,263.0,790
54612,624,1.0,888
21659,-1,5.0,-1
30119,1279,0.0,61
65418,1250,0.0,764
14223,1061,0.0,19
674,508,0.0,227
2382,-1,1.0,-1
25754,1255,0.0,790
56274,1578,2.0,790
40553,1387,0.0,790
45904,517,13.0,790
27087,686,0.0,227
19374,111,0.0,46
49701,1663,0.0,888
49019,242,2.0,-2
30211,-1,3.0,-1
5907,988,2.0,994
9175,242,0.0,888
59494,1665,0.0,646
19946,429,26.0,888
63963,1051,3.0,400
23484,1675,0.0,678
70642,1489,0.0,227
38699,741,0.0,698
34141,499,0.0,202
29238,769,0.0,888
9193,342,0.0,888
60695,160,0.0,888
69442,1113,111.0,790
8456,1084,0.0,810
16151,959,2.0,566
23222,120,1.0,790
51797,251,0.0,698
18248,1303,0.0,689
13199,173,0.0,1014
18889,624,1.0,776
25306,-1,2.0,-1
11992,996,1.0,810
55817,1301,0.0,227
24970,1675,0.0,839
55053,1434,0.0,888
63062,1301,2.0,283
31877,1167,0.0,776
22550,1135,15.0,888
34919,1220,0.0,201
7028,1542,0.0,348
43057,342,0.0,663
46326,936,0.0,888
40938,1646,2.0,888
4897,1556,0.0,6
55952,1244,2.0,888
42208,1280,8.0,888
44950,342,0.0,451
15296,844,0.0,928
30212,1007,0.0,797
5526,374,2.0,-2
49602,-1,2.0,-1
70365,1390,1.0,813
15077,534,0.0,810
66594,1685,0.0,33
57414,-1,1.0,-1
35864,342,1.0,663
4268,610,1.0,837
66870,844,0.0,888
4420,1221,9.0,888
29105,-1,10.0,-1
59579,227,0.0,202
15294,1285,0.0,38
68814,-1,72.0,-1
48936,342,0.0,888
52303,1070,1.0,719
23717,730,2.0,-2
47662,1498,6.0,888
31311,342,0.0,888
56173,1316,5.0,202
34668,-1,8.0,-1
37031,1301,0.0,6
70518,598,0.0,441
23476,481,0.0,698
47400,1489,0.0,38
13903,342,0.0,451
61743,-1,6.0,-1
39772,686,0.0,888
62032,730,0.0,888
29054,829,0.0,689
29336,598,0.0,54
44584,1421,17.0,790
57727,227,0.0,202
67171,769,2.0,790
9936,342,0.0,962
41468,-1,1.0,-1
68374,342,0.0,451
4492,1376,0.0,614
66354,333,0.0,6
49490,417,0.0,726
47972,173,1.0,227
9845,1675,0.0,299
48053,976,0.0,38
69246,914,0.0,-2
66029,217,0.0,348
13511,769,0.0,790
32495,769,3.0,790
39186,227,3.0,202
34508,991,0.0,713
53814,173,1.0,-2
37434,342,0.0,544
11752,342,39.0,962
51273,342,1.0,962
57547,1301,0.0,227
11364,739,1.0,275
43684,769,1.0,-2
40257,1605,0.0,888
62365,1404,1.0,839
7230,1301,0.0,46
63095,324,0.0,591
31326,268,0.0,575
16280,1373,0.0,928
53960,64,0.0,921
3593,1542,16.0,888
39592,1051,1.0,566
17683,1301,0.0,434
27689,-1,1.0,-1
36825,209,0.0,561
34114,1623,0.0,776
31428,-1,6.0,-1
19819,198,0.0,713
23364,-1,2.0,-1
27335,333,0.0,6
35719,228,0.0,888
23474,988,0.0,888
65176,494,0.0,888
50734,656,173.0,790
53521,-1,1.0,-1
39071,173,0.0,1014
6973,1625,306.0,-2
68534,977,2.0,-2
39121,1228,8.0,888
29132,1051,8.0,888
35300,988,0.0,28
18145,1277,0.0,-3
46263,1187,0.0,898
4131,242,28.0,790
12463,1142,0.0,790
50265,641,1.0,839
1018,782,1.0,678
42741,479,0.0,28
16641,209,0.0,6
64030,1,9.0,71
40906,508,0.0,202
15227,1250,0.0,-2
332,1285,0.0,575
48734,671,0.0,888
55073,1421,0.0,982
33916,1244,0.0,888
27153,1322,4.0,888
17595,844,22.0,490
6388,646,0.0,61
63803,1339,6.0,214
61175,792,0.0,888
70049,324,0.0,1041
13985,1302,34.0,790
32205,1173,3.0,790
31372,1142,0.0,631
14635,173,0.0,624
33797,342,0.0,451
26467,166,0.0,28
3278,111,0.0,434
45510,70,0.0,227
37354,1301,0.0,441
16652,1007,0.0,678
30849,342,11.0,962
70753,342,0.0,283
25469,173,0.0,283
59268,-1,1.0,-1
49828,686,0.0,839
60625,242,0.0,888
13221,686,0.0,776
18660,1634,1.0,-2
43801,1173,4.0,888
69076,-1,3.0,-1
65356,642,0.0,888
6289,1509,19.0,888
21773,1405,0.0,-2
39490,454,34.0,227
46985,48,0.0,888
4305,160,5.0,810
6867,1051,3.0,400
65275,1059,9.0,1036
14740,284,0.0,227
60084,240,0.0,790
27397,-1,2.0,-1
35011,1310,0.0,928
69775,533,4.0,834
51647,-1,2.0,-1
50345,324,0.0,645
8124,1301,0.0,243
18647,498,0.0,-3
35258,403,0.0,-3
23880,792,2.0,888
9961,924,1.0,-2
31091,173,1.0,917
38665,1362,0.0,-2
10940,876,0.0,888
10646,48,1.0,696
59323,733,0.0,680
48068,1639,0.0,410
27010,962,117.0,790
47409,-1,3.0,-1
69259,1059,6.0,-3
45634,64,1.0,841
60291,1196,0.0,410
688,-1,7.0,-1
25718,512,0.0,38
34632,575,10.0,776
7928,1574,13.0,678
52130,-1,2.0,-1
5699,-1,4.0,-1
27928,535,6.0,46
50681,619,0.0,-2
17780,1390,3.0,839
15562,792,3.0,400
13078,976,0.0,46
8993,1301,0.0,960
49839,565,1.0,1032
19229,342,0.0,663
31236,1059,5.0,676
65817,64,0.0,283
27375,1061,1.0,28
26101,1167,0.0,-3
1699,530,1.0,283
55718,64,2.0,669
29626,242,1.0,-2
37089,317,9.0,790
59081,619,0.0,509
35282,819,0.0,847
51469,1454,0.0,698
6900,558,6.0,-3
23789,1455,108.0,790
18783,242,0.0,810
57257,130,0.0,888
27651,1142,0.0,888
31148,799,1.0,595
66839,1059,2.0,346
25709,228,4.0,888
31512,1301,0.0,698
68003,-1,1.0,-1
31921,1159,3.0,839
52837,828,28.0,888
67805,977,0.0,406
59443,65,4.0,888
21063,173,0.0,928
42506,51,0.0,202
48273,263,3.0,888
38397,1454,10.0,173
53804,928,2.0,981
20353,1301,0.0,28
1852,927,25.0,888
44218,769,0.0,-2
17434,730,0.0,888
64889,342,0.0,451
44158,1221,6.0,888
61727,273,0.0,810
47137,1070,0.0,678
31986,617,1.0,102
62748,131,0.0,28
40406,1513,1.0,839
47720,646,3.0,888
70150,1663,2.0,888
14737,342,3.0,451
65662,348,0.0,112
31222,227,0.0,764
25186,1070,1.0,-2
59820,65,4.0,888
25412,1474,1.0,373
1683,48,0.0,888
15044,926,0.0,888
43797,-1,1.0,-1
40620,1375,7.0,888
47680,1560,0.0,653
12302,330,0.0,314
64839,48,0.0,696
66228,958,0.0,928
10491,1069,0.0,888
67407,1351,0.0,888
65867,342,0.0,888
41021,1059,8.0,676
18141,-1,1.0,-1
10089,-1,2.0,-1
7125,1493,1.0,935
67098,172,0.0,689
17652,1250,0.0,678
11782,1338,1.0,813
53512,1385,0.0,784
40795,261,0.0,790
43769,683,10.0,915
40801,1233,7.0,698
22837,1007,0.0,-2
67998,1007,0.0,343
55042,1018,0.0,660
43325,242,6.0,888
1431,1043,0.0,888
53347,1373,1.0,784
25491,342,0.0,663
4445,389,0.0,888
63031,546,0.0,888
8634,1387,104.0,-2
6655,437,15.0,-2
35873,342,0.0,566
25880,508,0.0,888
63850,-1,1.0,-1
10625,342,9.0,888
51522,1402,26.0,-3
7157,-1,1.0,-1
50413,-1,2.0,-1
62019,1070,0.0,839
18708,1018,0.0,698
46134,1634,6.0,-2
39223,1542,1.0,790
18661,65,1.0,6
11434,1084,0.0,839
1463,1007,0.0,570
36273,1298,1.0,28
1410,342,0.0,544
67072,438,2.0,964
22206,1393,3.0,6
55112,209,287.0,790
36562,-1,5.0,-1
23253,324,0.0,888
62181,1318,28.0,790
48638,289,0.0,219
47749,342,0.0,544
17157,-1,4.0,-1
64266,769,0.0,720
27176,-1,7.0,-1
50504,1250,0.0,698
4052,299,35.0,6
50839,-1,4.0,-1
12654,1680,0.0,689
47081,1542,3.0,888
46087,1483,2.0,581
31690,414,0.0,283
35845,1408,0.0,243
4369,1605,0.0,888
31838,1244,9.0,790
46355,342,14.0,888
9310,173,0.0,6
44988,531,11.0,888
56498,50,13.0,790
9751,1344,0.0,188
47270,-1,3.0,-1
23790,-1,2.0,-1
40796,617,1.0,202
13056,996,0.0,46
50011,626,3.0,-2
45721,952,0.0,575
30245,618,0.0,790
1006,1167,0.0,-3
55987,1340,3.0,364
45111,416,0.0,1064
9529,844,1.0,490
5360,863,0.0,202
36017,844,0.0,490
67381,988,0.0,888
20946,617,5.0,202
27187,1135,1.0,888
56814,256,9.0,1032
35586,1147,0.0,-3
6240,769,3.0,790
25847,-1,1.0,-1
64773,120,9.0,888
23226,130,0.0,-2
65532,244,0.0,888
19681,242,2.0,888
18391,70,0.0,28
55285,-1,1.0,-1
10430,198,0.0,575
50584,-1,1.0,-1
29384,421,1.0,1031
22577,-1,1.0,-1
13453,1167,1.0,776
70384,173,0.0,6
62936,58,1.0,776
2908,976,0.0,28
20159,1620,0.0,776
64454,1509,0.0,348
43693,284,0.0,888
67905,642,0.0,-3
36858,858,3.0,888
9427,1069,1.0,698
49340,-1,1.0,-1
45211,173,0.0,202
18891,1244,7.0,790
24171,-1,4.0,-1
55875,819,1.0,790
41309,1084,0.0,38
45612,1250,0.0,720
456,1091,16.0,888
28526,1113,1.0,790
44669,-1,2.0,-1
54874,1279,47.0,790
53963,769,7.0,790
21314,697,5.0,979
54382,65,160.0,790
21835,1279,1.0,506
68327,769,0.0,-2
47162,579,4.0,-3
30566,1483,30.0,888
50659,1409,1.0,25
61077,-1,6.0,-1
12529,1245,0.0,38
4877,-1,1.0,-1
51350,1301,1.0,46
66557,414,4.0,69
4036,126,0.0,790
18636,1627,0.0,1036
67471,999,17.0,888
63495,646,1.0,888
63722,1043,1.0,776
46242,1172,3.0,346
59599,936,15.0,790
67179,1244,2.0,277
15986,374,0.0,1028
77,324,1.0,645
22384,697,2.0,888
70206,1225,0.0,-3
20756,1119,0.0,1073
31699,1301,0.0,348
14799,833,0.0,1036
66935,1248,7.0,888
30371,1483,3.0,581
51732,499,0.0,888
48190,1639,5.0,790
20742,1575,0.0,38
52972,1663,0.0,888
34926,1659,145.0,112
39775,1220,1.0,450
13937,575,5.0,978
27851,535,0.0,243
44263,331,4.0,964
26843,1142,0.0,797
67849,686,0.0,888
50205,1432,0.0,213
34575,1076,0.0,33
12866,-1,1.0,-1
66567,1475,0.0,-2
3190,1301,0.0,790
129,996,0.0,441
53034,41,0.0,202
18214,403,0.0,159
68097,-1,1.0,-1
37719,1373,1.0,470
18695,65,0.0,283
63277,173,0.0,96
51643,508,0.0,213
69743,-1,6.0,-1
30412,1091,0.0,888
29309,-1,46.0,-1
58031,69,0.0,709
10574,1592,0.0,6
27229,1233,100.0,790
32055,3,3.0,646
15915,1049,6.0,888
69084,914,3.0,173
45628,1186,123.0,790
31732,598,0.0,698
40197,-1,2.0,-1
22157,242,0.0,888
67690,48,5.0,790
46395,814,10.0,790
51021,389,0.0,202
29655,396,0.0,839
58062,70,0.0,575
26482,1301,0.0,243
62533,683,6.0,888
2098,686,0.0,888
17177,-1,2.0,-1
6004,342,0.0,962
11873,1191,1.0,-2
31805,535,0.0,202
2824,1244,3.0,332
11857,-1,11.0,-1
36454,273,0.0,-2
31130,1040,0.0,713
66836,184,0.0,46
22646,642,8.0,-3
45115,1171,5.0,1080
52779,739,0.0,102
49216,342,0.0,888
9671,1258,0.0,790
45083,1240,43.0,790
24554,236,0.0,888
59224,353,0.0,33
3903,-1,125.0,-1
48236,-1,1.0,-1
56354,519,0.0,888
56282,284,0.0,441
34013,1007,0.0,763
4721,179,0.0,441
50222,1135,6.0,400
55035,1343,1.0,591
69826,1059,3.0,654
17991,1565,0.0,888
37438,84,0.0,400
1506,1375,0.0,888
27134,988,3.0,1031
28955,769,2.0,839
38861,1051,10.0,566
43022,958,118.0,-2
37863,47,264.0,888
23784,578,0.0,839
59031,184,0.0,227
59906,1542,1.0,839
50221,1542,213.0,790
9026,1421,9.0,790
63600,1061,1.0,28
65824,988,0.0,888
22686,808,4.0,888
70244,337,0.0,-2
66773,508,0.0,441
28464,133,6.0,790
46287,988,1.0,227
19552,242,5.0,-2
54566,844,112.0,490
43710,769,1.0,790
44172,1393,117.0,888
33850,1493,0.0,486
52964,333,0.0,815
23388,1221,137.0,71
11323,218,10.0,-2
20755,1084,0.0,515
41436,65,0.0,888
67036,1255,0.0,-3
19173,739,1.0,6
32931,1355,1.0,-3
34099,324,18.0,591
19632,598,0.0,243
68294,819,0.0,553
4050,1250,0.0,369
8758,225,0.0,888
53968,414,0.0,6
51384,-1,3.0,-1
17256,228,13.0,888
38434,342,0.0,962
62769,1301,0.0,46
64293,410,0.0,888
47276,228,4.0,283
1187,324,3.0,888
12556,175,14.0,795
38246,1051,0.0,400
49452,1388,0.0,888
51080,-1,2.0,-1
45317,1219,224.0,790
58180,782,16.0,839
6232,1477,1.0,283
18455,958,1.0,713
64767,1301,0.0,-2
4415,65,0.0,888
68584,769,0.0,790
42963,-1,3.0,-1
66427,-1,2.0,-1
4768,-1,6.0,-1
4298,333,0.0,6
1516,1431,2.0,790
67625,849,13.0,790
28632,1561,1.0,230
14715,959,4.0,591
36867,-1,2.0,-1
12597,173,0.0,624
16501,967,12.0,479
33874,1355,0.0,675
13973,769,0.0,830
34929,828,0.0,451
22288,637,1.0,-2
10020,-1,2.0,-1
67526,208,0.0,671
70824,-1,1.0,-1
63596,1069,0.0,28
57144,1680,0.0,790
66746,481,0.0,243
68438,111,4.0,38
48653,1302,0.0,-3
23995,1483,23.0,581
35724,769,2.0,790
38368,65,9.0,6
4241,-1,11.0,-1
44330,65,0.0,6
55643,-1,1.0,-1
13850,429,16.0,790
6665,1142,0.0,283
63678,546,3.0,-3
54967,342,0.0,544
48989,558,0.0,867
54749,173,0.0,-2
13607,-1,1.0,-1
36568,1301,0.0,46
63762,1421,1.0,-2
17328,618,5.0,790
57906,84,13.0,888
14133,342,0.0,451
20074,730,3.0,713
36081,988,3.0,928
4658,746,5.0,888
58639,342,4.0,888
51156,1404,6.0,686
25061,936,2.0,888
11274,1634,0.0,888
31890,-1,1.0,-1
21548,1680,0.0,797
66938,-1,1.0,-1
27034,1171,1.0,202
22185,1674,0.0,-3
44680,1250,1.0,830
60194,1504,1.0,790
41193,1255,7.0,719
12090,1007,0.0,735
19009,-1,1.0,-1
67112,769,2.0,790
65856,1172,4.0,456
43268,715,21.0,790
18538,564,22.0,698
3048,1061,0.0,994
15964,1142,0.0,159
66866,1680,0.0,-2
16733,-1,2.0,-1
31760,1421,7.0,-2
61219,1603,0.0,888
66601,196,1.0,-2
33223,1225,0.0,227
7663,844,0.0,928
9242,633,0.0,888
20561,-1,1.0,-1
44656,84,1.0,400
70394,-1,2.0,-1
29571,1043,0.0,839
1074,219,0.0,698
10772,239,4.0,888
50899,512,0.0,227
66995,64,3.0,921
48477,382,16.0,790
8004,158,0.0,978
8666,1680,0.0,-2
40952,481,0.0,38
38053,1375,0.0,932
32689,403,0.0,-3
28366,338,0.0,-3
36785,1029,0.0,1028
9515,273,0.0,441
2975,429,7.0,591
40110,173,0.0,790
54715,331,0.0,-2
61126,959,0.0,591
31907,952,4.0,689
42660,638,0.0,698
56206,84,6.0,400
36631,1114,2.0,-2
42779,69,0.0,112
67999,-1,12.0,-1
44401,1279,0.0,888
66147,618,7.0,513
17814,1355,0.0,6
11842,1007,0.0,-2
26558,333,0.0,6
38463,508,2.0,202
48970,173,2.0,-2
46532,844,4.0,-2
59094,1070,0.0,678
30887,565,1.0,1032
41141,389,0.0,888
48098,-1,1.0,-1
62550,1694,0.0,227
20017,1279,179.0,790
14843,624,3.0,776
18710,342,0.0,663
14363,1084,0.0,202
69727,387,1.0,888
37471,683,301.0,888
56250,730,1.0,558
51176,320,0.0,888
18034,595,0.0,810
28736,1070,0.0,888
20077,-1,1.0,-1
831,-1,4.0,-1
56330,1147,1.0,-3
57907,985,0.0,381
10472,1070,0.0,235
70440,624,8.0,790
63032,1277,0.0,-3
59839,-1,5.0,-1
49952,209,8.0,225
824,1404,0.0,888
27213,84,0.0,888
31803,617,0.0,915
67674,57,0.0,202
47088,928,0.0,283
68065,403,0.0,-3
4921,84,0.0,888
22164,1007,0.0,631
6652,741,2.0,689
3454,1645,0.0,839
64080,242,3.0,888
14918,624,1.0,-2
62611,389,0.0,-2
67815,508,0.0,434
7338,890,0.0,784
67059,-1,52.0,-1
60668,1286,0.0,888
32650,1402,0.0,-3
19306,386,135.0,790
68475,1611,3.0,283
28187,1142,0.0,839
24410,1680,0.0,790
32506,126,9.0,790
11220,926,0.0,888
4968,523,11.0,888
41652,1646,0.0,888
54812,-1,5.0,-1
51846,1445,0.0,888
40890,1513,1.0,117
2568,1113,0.0,726
49640,-1,1.0,-1
34066,749,0.0,112
61798,1493,0.0,776
58834,498,0.0,-3
11622,967,26.0,591
15789,1142,0.0,776
4431,1404,1.0,888
52080,1578,91.0,790
11715,1196,0.0,-2
36691,1250,0.0,790
66414,330,0.0,283
22898,1250,1.0,790
7113,342,0.0,451
4769,1247,1.0,28
30290,371,0.0,888
14977,862,9.0,591
34869,1147,0.0,888
507,1287,0.0,689
68309,1317,0.0,790
24710,64,0.0,227
33471,741,0.0,38
23902,1250,0.0,790
35261,1301,15.0,678
15827,1254,0.0,888
55039,1665,2.0,553
36954,1185,0.0,671
67285,219,2.0,-2
26996,484,0.0,776
61580,324,0.0,283
1895,1051,229.0,790
56825,-1,1.0,-1
34648,936,1.0,776
9433,1694,3.0,888
12331,1634,10.0,888
20314,74,0.0,-3
10576,1680,0.0,790
15470,65,1.0,6
16395,985,1.0,381
28680,-1,1.0,-1
1706,1007,0.0,917
66464,1264,0.0,283
58627,1192,110.0,400
29382,598,0.0,202
800,65,0.0,6
27115,209,0.0,6
61280,429,6.0,202
44752,985,7.0,564
13938,1301,0.0,810
37831,1250,0.0,235
29190,403,0.0,764
26529,959,1.0,230
19553,56,8.0,188
60213,1528,0.0,159
3796,716,0.0,790
41891,-1,6.0,-1
62180,-1,1.0,-1
29632,126,1.0,-2
47209,1113,0.0,790
7913,1179,0.0,888
43834,1269,0.0,888
15498,1142,0.0,776
4138,217,1.0,689
3163,126,0.0,888
37505,1609,0.0,1028
57618,196,0.0,161
51644,769,0.0,689
33706,84,0.0,888
6810,1244,0.0,763
50474,1007,0.0,570
38544,769,1.0,-2
58254,173,0.0,47
30201,209,2.0,6
13358,1159,4.0,671
35770,1375,3.0,400
58072,-1,8.0,-1
14445,48,13.0,696
29139,-1,2.0,-1
52590,173,0.0,790
22787,437,10.0,-2
37048,959,4.0,591
36153,-1,3.0,-1
51331,-1,6.0,-1
64318,1255,3.0,-2
9642,-1,7.0,-1
28919,-1,7.0,-1
34309,769,0.0,678
32124,196,5.0,888
63836,1255,0.0,888
55284,390,8.0,-2
5168,546,1.0,888
21663,1238,0.0,202
18739,769,0.0,830
58362,531,33.0,591
47995,1248,7.0,888
16052,1087,138.0,790
43724,331,0.0,689
23035,881,0.0,888
25829,1509,4.0,-3
63378,624,1.0,-2
66914,730,8.0,202
38200,936,3.0,-2
10133,509,15.0,-2
30899,996,0.0,19
5779,195,2.0,888
68955,618,0.0,65
57308,-1,4.0,-1
40198,619,3.0,-2
64656,-1,2.0,-1
62696,1613,3.0,225
37011,224,140.0,790
25803,531,7.0,348
44494,598,1.0,441
51788,-1,14.0,-1
46977,1007,0.0,364
51786,1221,0.0,888
44731,-1,2.0,-1
22179,959,11.0,230
28567,1680,0.0,790
43462,1250,1.0,790
17717,988,0.0,-3
42393,414,0.0,6
56142,769,0.0,790
63610,881,0.0,888
23530,173,0.0,400
1422,-1,2.0,-1
38395,242,3.0,888
24199,1431,0.0,220
8167,1142,0.0,570
18850,1084,0.0,839
19722,923,0.0,28
61221,710,8.0,888
2675,1301,2.0,888
28621,558,0.0,964
14451,1135,1.0,230
56993,360,3.0,230
26089,1301,0.0,810
51629,57,252.0,790
25905,1301,0.0,159
53649,284,0.0,441
50027,179,0.0,928
31649,1338,0.0,698
63906,1007,0.0,807
15532,691,5.0,22
3149,546,1.0,888
7220,1680,5.0,-2
2628,69,0.0,763
31395,-1,2.0,-1
24764,331,6.0,348
29625,828,2.0,451
24744,691,1.0,888
45862,242,0.0,888
63151,1135,11.0,400
19427,1244,0.0,888
37673,352,8.0,-2
29377,1084,0.0,243
63485,1280,0.0,888
41084,1344,1.0,15
60345,1503,0.0,776
19816,1167,0.0,-3
60464,324,0.0,888
8678,-1,3.0,-1
7461,1250,0.0,790
25924,1142,1.0,-2
70107,1192,0.0,888
42082,741,0.0,810
13167,389,0.0,243
17108,124,924.0,-2
23496,1205,14.0,888
39890,619,1.0,-2
52989,1228,1.0,888
12746,438,19.0,790
6793,1404,1.0,888
57882,1286,0.0,888
24671,1073,1.0,776
18561,926,66.0,-2
49577,926,0.0,888
40400,1301,1.0,348
20849,973,0.0,283
43585,1250,0.0,-2
57796,-1,1.0,-1
43591,1375,0.0,400
33780,-1,1.0,-1
22793,928,0.0,981
37243,217,0.0,698
48003,-1,27.0,-1
46768,-1,7.0,-1
50501,472,0.0,961
54020,618,0.0,888
11874,-1,3.0,-1
43708,472,0.0,243
61171,227,0.0,790
59921,769,0.0,698
38052,256,6.0,888
68924,217,10.0,-2
54628,-1,1.0,-1
46333,561,0.0,42
59080,1639,25.0,776
51127,1147,2.0,-3
39345,575,11.0,888
69833,1040,1.0,928
47074,1007,1.0,709
37792,769,0.0,888
53020,1680,0.0,-2
49105,494,0.0,888
1889,1142,0.0,283
55138,-1,1.0,-1
12800,1188,5.0,6
64241,999,3.0,6
53101,799,0.0,934
8569,130,0.0,790
36387,1002,21.0,888
8689,173,0.0,881
36708,669,0.0,873
21553,-1,1.0,-1
68074,535,19.0,994
38652,739,3.0,410
23118,65,0.0,888
37039,374,5.0,410
27784,1135,0.0,888
45465,269,6.0,790
62513,642,41.0,-3
4242,429,2.0,888
68832,1697,0.0,888
28772,-1,4.0,-1
7971,1142,2.0,709
3799,84,52.0,790
53201,707,16.0,888
55567,-1,3.0,-1
2468,1076,0.0,186
24164,1098,0.0,839
30598,-1,4.0,-1
38915,1244,1.0,202
1846,1338,6.0,127
61745,1381,0.0,28
8277,1007,0.0,-3
3482,1070,2.0,888
4312,1098,4.0,888
59957,-1,3.0,-1
27776,1204,0.0,888
28306,-1,1.0,-1
